cik,name,entityType,sic,sicDescription,ownerOrg,insiderTransactionForOwnerExists,insiderTransactionForIssuerExists,tickers,exchanges,ein,description,website,investorWebsite,category,fiscalYearEnd,stateOfIncorporation,stateOfIncorporationDescription,phone,flags,mailing_street1,mailing_street2,mailing_city,mailing_stateOrCountry,mailing_zipCode,mailing_stateOrCountryDescription,business_street1,business_street2,business_city,business_stateOrCountry,business_zipCode,business_stateOrCountryDescription,naics
320193,Apple Inc.,operating,3571.0,Electronic Computers,06 Technology,0,1,AAPL,Nasdaq,942404110.0,,,,Large accelerated filer,928.0,CA,CA,(408) 996-1010,,ONE APPLE PARK WAY,,CUPERTINO,CA,95014,CA,ONE APPLE PARK WAY,,CUPERTINO,CA,95014,CA,{334111}
789019,MICROSOFT CORP,operating,7372.0,Services-Prepackaged Software,06 Technology,1,1,MSFT,Nasdaq,911144442.0,,,,Large accelerated filer,630.0,WA,WA,425-882-8080,,ONE MICROSOFT WAY,,REDMOND,WA,98052-6399,WA,ONE MICROSOFT WAY,,REDMOND,WA,98052-6399,WA,"{511210, 334614}"
1045810,NVIDIA CORP,operating,3674.0,Semiconductors & Related Devices,04 Manufacturing,1,1,NVDA,Nasdaq,943177549.0,,,,Large accelerated filer,126.0,DE,DE,408-486-2000,,2788 SAN TOMAS EXPRESSWAY,,SANTA CLARA,CA,95051,CA,2788 SAN TOMAS EXPRESSWAY,,SANTA CLARA,CA,95051,CA,{334413}
1652044,Alphabet Inc.,operating,7370.0,"Services-Computer Programming, Data Processing, Etc.",06 Technology,1,1,"GOOGL,GOOG","Nasdaq,Nasdaq",611767919.0,,,,Large accelerated filer,1231.0,DE,DE,650-253-0000,,1600 AMPHITHEATRE PARKWAY,,MOUNTAIN VIEW,CA,94043,CA,1600 AMPHITHEATRE PARKWAY,,MOUNTAIN VIEW,CA,94043,CA,"{518210, 541511}"
1326801,"Meta Platforms, Inc.",operating,7370.0,"Services-Computer Programming, Data Processing, Etc.",06 Technology,0,1,META,Nasdaq,201665019.0,,,,Large accelerated filer,1231.0,DE,DE,650-543-4800,,1 META WAY,,MENLO PARK,CA,94025,CA,1 META WAY,,MENLO PARK,CA,94025,CA,"{518210, 541511}"
1046179,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,other,3674.0,Semiconductors & Related Devices,04 Manufacturing,0,0,"TSM,TSMWF","NYSE,OTC",0.0,,,,Large accelerated filer,1231.0,F5,"Taiwan, Province of China",886-3-5636688,,"NO. 8, LI-HSIN ROAD 6",HSINCHU SCIENCE PARK,HSINCHU,F5,300-096,"Taiwan, Province of China","NO. 8, LI-HSIN ROAD 6",HSINCHU SCIENCE PARK,HSINCHU,F5,300-096,"Taiwan, Province of China",{334413}
1730168,Broadcom Inc.,operating,3674.0,Semiconductors & Related Devices,04 Manufacturing,0,1,AVGO,Nasdaq,352617337.0,,,,Large accelerated filer,1103.0,,,650-427-6000,,3421 HILLVIEW AVENUE,,PALO ALTO,CA,94304,CA,3421 HILLVIEW AVENUE,,PALO ALTO,CA,94304,CA,{334413}
1341439,ORACLE CORP,operating,7372.0,Services-Prepackaged Software,06 Technology,1,1,ORCL,NYSE,542185193.0,,,,Large accelerated filer,531.0,,,(737) 867-1000,,2300 ORACLE WAY,,AUSTIN,TX,78741,TX,2300 ORACLE WAY,,AUSTIN,TX,78741,TX,"{511210, 334614}"
937966,ASML HOLDING NV,other,3559.0,"Special Industry Machinery, NEC",06 Technology,0,0,"ASML,ASMLF","Nasdaq,OTC",0.0,,,,Large accelerated filer,1231.0,,,31402683000,,P.O. BOX 324,,AH VELDHOVEN,P7,5500,Netherlands,DE RUN 6501,,DR VELDHOVEN,P7,5504,Netherlands,"{333249, 333318, 332410, 333111, 333242}"
1108524,"Salesforce, Inc.",operating,7372.0,Services-Prepackaged Software,06 Technology,1,1,CRM,NYSE,943320693.0,,,,Large accelerated filer,131.0,DE,DE,415-901-7000,,SALESFORCE TOWER,415 MISSION STREET 3RD FL,SAN FRANCISCO,CA,94105,CA,SALESFORCE TOWER,415 MISSION STREET 3RD FL,SAN FRANCISCO,CA,94105,CA,"{511210, 334614}"
1000184,SAP SE,other,7372.0,Services-Prepackaged Software,06 Technology,1,0,"SAP,SAPGF","NYSE,OTC",0.0,,,,Large accelerated filer,1231.0,2M,Germany,0114962277,,DIETMAR-HOPP-ALLEE 16,,WALLDORF,2M,69190,Germany,DIETMAR-HOPP-ALLEE 16,,WALLDORF,2M,69190,Germany,"{511210, 334614}"
796343,ADOBE INC.,operating,7372.0,Services-Prepackaged Software,06 Technology,1,1,ADBE,Nasdaq,770019522.0,,,,Large accelerated filer,1129.0,DE,DE,4085366000,,345 PARK AVENUE,,SAN JOSE,CA,95110-2704,CA,345 PARK AVE,,SAN JOSE,CA,95110-2704,CA,"{511210, 334614}"
2488,ADVANCED MICRO DEVICES INC,operating,3674.0,Semiconductors & Related Devices,04 Manufacturing,1,1,AMD,Nasdaq,941692300.0,,,,Large accelerated filer,1228.0,DE,DE,(408) 749-4000,,2485 AUGUSTINE DRIVE,,SANTA CLARA,CA,95054,CA,2485 AUGUSTINE DRIVE,,SANTA CLARA,CA,95054,CA,{334413}
97745,THERMO FISHER SCIENTIFIC INC.,operating,3829.0,"Measuring & Controlling Devices, NEC",08 Industrial Applications and Services,1,1,TMO,NYSE,42209186.0,,,,Large accelerated filer,1231.0,DE,DE,7816221000,,168 THIRD AVENUE,,WALTHAM,MA,02451,MA,168 THIRD AVENUE,,WALTHAM,MA,02451,MA,"{339112, 334514, 334519}"
1283699,"T-Mobile US, Inc.",operating,4812.0,Radiotelephone Communications,06 Technology,0,1,TMUS,Nasdaq,200836269.0,,,,Large accelerated filer,1231.0,DE,DE,800-318-9270,,12920 SE 38TH STREET,,BELLEVUE,WA,98006,WA,12920 SE 38TH STREET,,BELLEVUE,WA,98006,WA,"{517312, 517911}"
858877,"CISCO SYSTEMS, INC.",operating,3576.0,Computer Communications Equipment,06 Technology,1,1,CSCO,Nasdaq,770059951.0,,,,Large accelerated filer,727.0,DE,DE,4085264000,,170 WEST TASMAN DR,,SAN JOSE,CA,95134-1706,CA,170 WEST TASMAN DR,,SAN JOSE,CA,95134-1706,CA,"{334112, 333316, 334118, 333318, 334111}"
313616,DANAHER CORP /DE/,operating,3823.0,"Industrial Instruments For Measurement, Display, and Control",08 Industrial Applications and Services,1,1,DHR,NYSE,591995548.0,,,,Large accelerated filer,1231.0,DE,DE,2028280850,,2200 PENNSYLVANIA AVE. N.W.,SUITE 800W,WASHINGTON,DC,20037-1701,DC,2200 PENNSYLVANIA AVE. N.W.,SUITE 800W,WASHINGTON,DC,20037-1701,DC,{334513}
896878,INTUIT INC.,operating,7372.0,Services-Prepackaged Software,06 Technology,0,1,INTU,Nasdaq,770034661.0,,,,Large accelerated filer,731.0,DE,DE,650-944-6000,,P.O. BOX 7850,,MOUNTAIN VIEW,CA,94039-7850,CA,2700 COAST AVENUE,,MOUNTAIN VIEW,CA,94043,CA,"{511210, 334614}"
97476,TEXAS INSTRUMENTS INC,operating,3674.0,Semiconductors & Related Devices,04 Manufacturing,0,1,TXN,Nasdaq,750289970.0,,,,Large accelerated filer,1231.0,DE,DE,9729953773,,12500 TI BLVD,PO BOX 660199,DALLAS,TX,75266,TX,P.O. BOX 660199,,DALLAS,TX,75266,TX,{334413}
51143,INTERNATIONAL BUSINESS MACHINES CORP,operating,3570.0,Computer & office Equipment,06 Technology,1,1,IBM,NYSE,130871985.0,,,,Large accelerated filer,1231.0,NY,NY,9144991900,,1 NEW ORCHARD RD,,ARMONK,NY,10504,NY,1 NEW ORCHARD ROAD,,ARMONK,NY,10504,NY,"{334112, 334111}"
6951,APPLIED MATERIALS INC /DE,operating,3674.0,Semiconductors & Related Devices,04 Manufacturing,1,1,AMAT,Nasdaq,941655526.0,,,,Large accelerated filer,1027.0,DC,DC,4085635300,,3050 BOWERS AVE,,SANTA CLARA,CA,95054-3299,CA,3050 BOWERS AVE,,SANTA CLARA,CA,95054-3299,CA,{334413}
1373715,"ServiceNow, Inc.",operating,7372.0,Services-Prepackaged Software,06 Technology,0,1,NOW,NYSE,202056195.0,,,,Large accelerated filer,1231.0,,,408-501-8550,,2225 LAWSON LANE,,SANTA CLARA,CA,95054,CA,2225 LAWSON LANE,,SANTA CLARA,CA,95054,CA,"{511210, 334614}"
732712,VERIZON COMMUNICATIONS INC,operating,4813.0,Telephone Communications (No Radiotelephone),06 Technology,1,1,VZ,NYSE,232259884.0,,,,Large accelerated filer,1231.0,DE,DE,212-395-1000,,1095 AVENUE OF THE AMERICAS,,NEW YORK,NY,10036,NY,1095 AVENUE OF THE AMERICAS,,NEW YORK,NY,10036,NY,"{517911, 517311}"
18230,CATERPILLAR INC,operating,3531.0,Construction Machinery & Equip,06 Technology,1,1,CAT,NYSE,370602744.0,,,,Large accelerated filer,1231.0,DE,DE,9728917700,,5205 N. O'CONNOR BOULEVARD,SUITE 100,IRVING,TX,75039,TX,5205 N. O'CONNOR BOULEVARD,SUITE 100,IRVING,TX,75039,TX,"{333120, 333923, 336510}"
1166691,COMCAST CORP,operating,4841.0,Cable & Other Pay Television Services,06 Technology,1,1,"CMCSA,CCZ","Nasdaq,NYSE",270000798.0,,,,Large accelerated filer,1231.0,PA,PA,215-286-1700,,ONE COMCAST CENTER,,PHILADELPHIA,PA,19103-2838,PA,ONE COMCAST CENTER,,PHILADELPHIA,PA,19103-2838,PA,"{515210, 517311}"
732717,AT&T INC.,operating,4813.0,Telephone Communications (No Radiotelephone),06 Technology,1,1,"T,TBB,TBC,T-PA,T-PC","NYSE,NYSE,NYSE,NYSE,NYSE",431301883.0,,,,Large accelerated filer,1231.0,DE,DE,2108214105,,208 S. AKARD ST,,DALLAS,TX,75202,TX,208 S. AKARD ST,,DALLAS,TX,75202,TX,"{517911, 517311}"
1973239,ARM HOLDINGS PLC /UK,other,3674.0,Semiconductors & Related Devices,04 Manufacturing,0,0,ARM,Nasdaq,0.0,,,,Non-accelerated filer,331.0,X0,United Kingdom,44 1223 400 400,,110 FULBOURN ROAD,,CAMBRIDGE,X0,CB1 9NJ,United Kingdom,110 FULBOURN ROAD,,CAMBRIDGE,X0,CB1 9NJ,United Kingdom,{334413}
723125,MICRON TECHNOLOGY INC,operating,3674.0,Semiconductors & Related Devices,04 Manufacturing,0,1,MU,Nasdaq,751618004.0,,,,Large accelerated filer,829.0,DE,DE,2083684000,,8000 S FEDERAL WAY,PO BOX 6,BOISE,ID,83716-9632,ID,8000 S FEDERAL WAY,PO BOX 6,BOISE,ID,83716-9632,ID,{334413}
