,observation_date,DFF
732,2014-01-02,0.08
733,2014-01-03,0.08
736,2014-01-06,0.08
737,2014-01-07,0.07
738,2014-01-08,0.07
739,2014-01-09,0.07
740,2014-01-10,0.07
743,2014-01-13,0.07
744,2014-01-14,0.07
745,2014-01-15,0.07
746,2014-01-16,0.07
747,2014-01-17,0.07
751,2014-01-21,0.07
752,2014-01-22,0.07
753,2014-01-23,0.07
754,2014-01-24,0.07
757,2014-01-27,0.07
758,2014-01-28,0.07
759,2014-01-29,0.07
760,2014-01-30,0.07
761,2014-01-31,0.07
764,2014-02-03,0.07
765,2014-02-04,0.07
766,2014-02-05,0.07
767,2014-02-06,0.07
768,2014-02-07,0.06
771,2014-02-10,0.07
772,2014-02-11,0.06
773,2014-02-12,0.07
774,2014-02-13,0.06
775,2014-02-14,0.06
779,2014-02-18,0.07
780,2014-02-19,0.07
781,2014-02-20,0.07
782,2014-02-21,0.07
785,2014-02-24,0.07
786,2014-02-25,0.07
787,2014-02-26,0.07
788,2014-02-27,0.07
789,2014-02-28,0.06
792,2014-03-03,0.07
793,2014-03-04,0.07
794,2014-03-05,0.08
795,2014-03-06,0.08
796,2014-03-07,0.08
799,2014-03-10,0.08
800,2014-03-11,0.08
801,2014-03-12,0.08
802,2014-03-13,0.08
803,2014-03-14,0.08
806,2014-03-17,0.08
807,2014-03-18,0.08
808,2014-03-19,0.08
809,2014-03-20,0.08
810,2014-03-21,0.08
813,2014-03-24,0.09
814,2014-03-25,0.09
815,2014-03-26,0.08
816,2014-03-27,0.08
817,2014-03-28,0.08
820,2014-03-31,0.06
821,2014-04-01,0.08
822,2014-04-02,0.09
823,2014-04-03,0.08
824,2014-04-04,0.08
827,2014-04-07,0.09
828,2014-04-08,0.08
829,2014-04-09,0.08
830,2014-04-10,0.08
831,2014-04-11,0.09
835,2014-04-15,0.1
836,2014-04-16,0.09
837,2014-04-17,0.09
841,2014-04-21,0.1
842,2014-04-22,0.1
843,2014-04-23,0.1
844,2014-04-24,0.1
845,2014-04-25,0.09
848,2014-04-28,0.09
849,2014-04-29,0.1
850,2014-04-30,0.09
851,2014-05-01,0.09
852,2014-05-02,0.09
855,2014-05-05,0.09
856,2014-05-06,0.09
857,2014-05-07,0.08
858,2014-05-08,0.08
859,2014-05-09,0.08
862,2014-05-12,0.08
863,2014-05-13,0.09
864,2014-05-14,0.08
865,2014-05-15,0.09
866,2014-05-16,0.09
869,2014-05-19,0.09
870,2014-05-20,0.09
871,2014-05-21,0.09
872,2014-05-22,0.09
873,2014-05-23,0.09
877,2014-05-27,0.09
878,2014-05-28,0.09
879,2014-05-29,0.09
880,2014-05-30,0.08
883,2014-06-02,0.09
884,2014-06-03,0.1
885,2014-06-04,0.09
886,2014-06-05,0.09
887,2014-06-06,0.09
890,2014-06-09,0.09
891,2014-06-10,0.09
892,2014-06-11,0.09
893,2014-06-12,0.09
894,2014-06-13,0.1
897,2014-06-16,0.1
898,2014-06-17,0.1
899,2014-06-18,0.1
900,2014-06-19,0.1
901,2014-06-20,0.1
904,2014-06-23,0.1
905,2014-06-24,0.1
906,2014-06-25,0.1
907,2014-06-26,0.1
908,2014-06-27,0.1
911,2014-06-30,0.09
912,2014-07-01,0.1
913,2014-07-02,0.1
914,2014-07-03,0.09
918,2014-07-07,0.1
919,2014-07-08,0.09
920,2014-07-09,0.09
921,2014-07-10,0.09
922,2014-07-11,0.09
925,2014-07-14,0.09
926,2014-07-15,0.09
927,2014-07-16,0.09
928,2014-07-17,0.09
929,2014-07-18,0.09
932,2014-07-21,0.1
933,2014-07-22,0.09
934,2014-07-23,0.09
935,2014-07-24,0.09
936,2014-07-25,0.09
939,2014-07-28,0.09
940,2014-07-29,0.09
941,2014-07-30,0.09
942,2014-07-31,0.08
943,2014-08-01,0.09
946,2014-08-04,0.09
947,2014-08-05,0.09
948,2014-08-06,0.09
949,2014-08-07,0.09
950,2014-08-08,0.09
953,2014-08-11,0.09
954,2014-08-12,0.09
955,2014-08-13,0.09
956,2014-08-14,0.09
957,2014-08-15,0.09
960,2014-08-18,0.09
961,2014-08-19,0.09
962,2014-08-20,0.09
963,2014-08-21,0.09
964,2014-08-22,0.09
967,2014-08-25,0.09
968,2014-08-26,0.09
969,2014-08-27,0.09
970,2014-08-28,0.09
971,2014-08-29,0.07
975,2014-09-02,0.09
976,2014-09-03,0.09
977,2014-09-04,0.09
978,2014-09-05,0.09
981,2014-09-08,0.09
982,2014-09-09,0.09
983,2014-09-10,0.09
984,2014-09-11,0.09
985,2014-09-12,0.09
988,2014-09-15,0.09
989,2014-09-16,0.09
990,2014-09-17,0.09
991,2014-09-18,0.09
992,2014-09-19,0.09
995,2014-09-22,0.09
996,2014-09-23,0.09
997,2014-09-24,0.09
998,2014-09-25,0.09
999,2014-09-26,0.09
1002,2014-09-29,0.08
1003,2014-09-30,0.07
1004,2014-10-01,0.09
1005,2014-10-02,0.09
1006,2014-10-03,0.09
1009,2014-10-06,0.09
1010,2014-10-07,0.09
1011,2014-10-08,0.09
1012,2014-10-09,0.08
1013,2014-10-10,0.09
1016,2014-10-13,0.09
1017,2014-10-14,0.09
1018,2014-10-15,0.09
1019,2014-10-16,0.09
1020,2014-10-17,0.09
1023,2014-10-20,0.09
1024,2014-10-21,0.09
1025,2014-10-22,0.09
1026,2014-10-23,0.09
1027,2014-10-24,0.09
1030,2014-10-27,0.09
1031,2014-10-28,0.09
1032,2014-10-29,0.09
1033,2014-10-30,0.09
1034,2014-10-31,0.07
1037,2014-11-03,0.09
1038,2014-11-04,0.1
1039,2014-11-05,0.09
1040,2014-11-06,0.09
1041,2014-11-07,0.09
1044,2014-11-10,0.09
1045,2014-11-11,0.09
1046,2014-11-12,0.09
1047,2014-11-13,0.09
1048,2014-11-14,0.09
1051,2014-11-17,0.1
1052,2014-11-18,0.11
1053,2014-11-19,0.1
1054,2014-11-20,0.1
1055,2014-11-21,0.1
1058,2014-11-24,0.1
1059,2014-11-25,0.1
1060,2014-11-26,0.1
1062,2014-11-28,0.08
1065,2014-12-01,0.13
1066,2014-12-02,0.12
1067,2014-12-03,0.12
1068,2014-12-04,0.12
1069,2014-12-05,0.12
1072,2014-12-08,0.12
1073,2014-12-09,0.12
1074,2014-12-10,0.12
1075,2014-12-11,0.12
1076,2014-12-12,0.12
1079,2014-12-15,0.11
1080,2014-12-16,0.12
1081,2014-12-17,0.13
1082,2014-12-18,0.13
1083,2014-12-19,0.13
1086,2014-12-22,0.13
1087,2014-12-23,0.13
1088,2014-12-24,0.13
1090,2014-12-26,0.13
1093,2014-12-29,0.13
1094,2014-12-30,0.13
1095,2014-12-31,0.06
1121,2015-01-26,0.12
1122,2015-01-27,0.11
1123,2015-01-28,0.12
1124,2015-01-29,0.11
1125,2015-01-30,0.06
1128,2015-02-02,0.12
1129,2015-02-03,0.12
1130,2015-02-04,0.11
1131,2015-02-05,0.12
1132,2015-02-06,0.11
1135,2015-02-09,0.12
1136,2015-02-10,0.12
1137,2015-02-11,0.12
1138,2015-02-12,0.12
1139,2015-02-13,0.12
1143,2015-02-17,0.12
1144,2015-02-18,0.12
1146,2015-02-20,0.12
1149,2015-02-23,0.11
1150,2015-02-24,0.11
1151,2015-02-25,0.11
1152,2015-02-26,0.11
1153,2015-02-27,0.06
1156,2015-03-02,0.12
1157,2015-03-03,0.12
1158,2015-03-04,0.11
1159,2015-03-05,0.11
1160,2015-03-06,0.12
1163,2015-03-09,0.12
1164,2015-03-10,0.12
1165,2015-03-11,0.11
1166,2015-03-12,0.11
1167,2015-03-13,0.11
1170,2015-03-16,0.12
1171,2015-03-17,0.12
1172,2015-03-18,0.11
1173,2015-03-19,0.12
1174,2015-03-20,0.12
1177,2015-03-23,0.12
1178,2015-03-24,0.11
1179,2015-03-25,0.12
1180,2015-03-26,0.11
1181,2015-03-27,0.12
1184,2015-03-30,0.12
1185,2015-03-31,0.06
1186,2015-04-01,0.12
1187,2015-04-02,0.12
1191,2015-04-06,0.13
1192,2015-04-07,0.12
1193,2015-04-08,0.12
1194,2015-04-09,0.12
1195,2015-04-10,0.12
1198,2015-04-13,0.13
1199,2015-04-14,0.13
1200,2015-04-15,0.13
1201,2015-04-16,0.13
1202,2015-04-17,0.13
1205,2015-04-20,0.13
1206,2015-04-21,0.13
1207,2015-04-22,0.13
1208,2015-04-23,0.13
1209,2015-04-24,0.13
1212,2015-04-27,0.13
1213,2015-04-28,0.13
1214,2015-04-29,0.13
1215,2015-04-30,0.08
1216,2015-05-01,0.13
1219,2015-05-04,0.13
1220,2015-05-05,0.13
1221,2015-05-06,0.13
1222,2015-05-07,0.13
1223,2015-05-08,0.13
1226,2015-05-11,0.13
1227,2015-05-12,0.13
1228,2015-05-13,0.13
1229,2015-05-14,0.13
1230,2015-05-15,0.13
1233,2015-05-18,0.13
1234,2015-05-19,0.12
1235,2015-05-20,0.12
1236,2015-05-21,0.12
1237,2015-05-22,0.13
1241,2015-05-26,0.12
1242,2015-05-27,0.12
1243,2015-05-28,0.12
1244,2015-05-29,0.08
1247,2015-06-01,0.12
1248,2015-06-02,0.12
1249,2015-06-03,0.13
1250,2015-06-04,0.13
1251,2015-06-05,0.13
1254,2015-06-08,0.13
1255,2015-06-09,0.13
1256,2015-06-10,0.13
1257,2015-06-11,0.13
1258,2015-06-12,0.13
1261,2015-06-15,0.13
1262,2015-06-16,0.14
1263,2015-06-17,0.14
1264,2015-06-18,0.14
1265,2015-06-19,0.13
1268,2015-06-22,0.13
1269,2015-06-23,0.13
1270,2015-06-24,0.13
1271,2015-06-25,0.13
1272,2015-06-26,0.13
1275,2015-06-29,0.14
1276,2015-06-30,0.08
1277,2015-07-01,0.13
1278,2015-07-02,0.13
1282,2015-07-06,0.13
1283,2015-07-07,0.13
1284,2015-07-08,0.13
1285,2015-07-09,0.13
1286,2015-07-10,0.13
1289,2015-07-13,0.13
1290,2015-07-14,0.13
1291,2015-07-15,0.13
1292,2015-07-16,0.14
1293,2015-07-17,0.13
1296,2015-07-20,0.14
1297,2015-07-21,0.13
1298,2015-07-22,0.13
1299,2015-07-23,0.13
1300,2015-07-24,0.13
1303,2015-07-27,0.14
1304,2015-07-28,0.14
1305,2015-07-29,0.14
1306,2015-07-30,0.14
1307,2015-07-31,0.08
1310,2015-08-03,0.14
1311,2015-08-04,0.14
1312,2015-08-05,0.14
1313,2015-08-06,0.14
1314,2015-08-07,0.14
1317,2015-08-10,0.14
1318,2015-08-11,0.15
1319,2015-08-12,0.15
1320,2015-08-13,0.15
1321,2015-08-14,0.14
1324,2015-08-17,0.15
1325,2015-08-18,0.15
1326,2015-08-19,0.15
1327,2015-08-20,0.15
1328,2015-08-21,0.15
1331,2015-08-24,0.15
1332,2015-08-25,0.15
1333,2015-08-26,0.14
1334,2015-08-27,0.14
1335,2015-08-28,0.14
1338,2015-08-31,0.08
1339,2015-09-01,0.14
1340,2015-09-02,0.14
