Date,tech_weight, Open, High, Low, Close,Open_wi,High_wi,Low_wi,Close_wi
2014-01-02,18.666742,1845.86,1845.86,1827.74,1831.98,344.5619238812,344.5619238812,341.1795102308,341.9709800916
2014-01-03,18.575319,1833.21,1838.24,1829.13,1831.37,340.52460543990003,341.4589439856,339.7667324247,340.1828195703
2014-01-06,18.617887,1832.31,1837.16,1823.73,1826.77,341.1374052897,342.0403728092,339.53999058510004,340.1059743499
2014-01-07,18.672965,1828.71,1840.1,1828.71,1837.88,341.4743782515,343.601228965,341.4743782515,343.18668914200003
2014-01-08,18.63979,1837.9,1840.02,1831.4,1837.49,342.5807004100001,342.97586395800005,341.3691140600001,342.50427727100003
2014-01-09,18.477773,1839.0,1843.23,1830.38,1838.13,339.80624547,340.5878552679,338.21346143740004,339.6454888449
2014-01-10,18.503896,1840.06,1843.15,1832.43,1842.37,340.4827887376,341.054559124,339.07094147280003,340.9102287352
2014-01-13,18.526363,1841.26,1843.45,1815.52,1819.2,341.1185113738,341.52423872350005,336.3498255376,337.031595696
2014-01-14,18.628072,1821.36,1839.26,1821.36,1838.88,339.2842521792,342.6186770672,339.2842521792,342.5478903936
2014-01-15,18.759863,1840.52,1850.84,1840.52,1848.38,345.2790304876,347.2150483492,345.2790304876,346.7535557194
2014-01-16,18.782971,1847.99,1847.99,1840.3,1845.89,347.1074257829,347.1074257829,345.663015313,346.7129833919
2014-01-17,18.724865,1844.23,1846.04,1835.23,1838.7,345.32957778950004,345.66849784600004,343.64433993950007,344.294092755
2014-01-21,18.738644,1841.05,1849.31,1832.38,1843.8,344.987805362,346.53561735640005,343.36316492720005,345.503118072
2014-01-22,18.678212,1844.71,1846.87,1840.88,1844.86,344.5588445852,344.9622939643999,343.8434690656,344.5868619032
2014-01-23,18.789447,1842.29,1842.29,1820.06,1828.46,346.15610313630003,346.15610313630003,341.9792090682,343.5575226162
2014-01-24,18.846888,1826.96,1826.96,1790.29,1790.29,344.3251050048,344.3251050048,337.4139511752,337.4139511752
2014-01-27,18.84249,1791.03,1795.98,1772.88,1781.56,337.474648647,338.407351902,334.054736712,335.69026484400007
2014-01-28,18.609267,1783.0,1793.87,1779.49,1792.5,331.80323061,333.8260579328999,331.15004533829995,333.57111097499995
2014-01-29,18.664441,1790.15,1790.15,1770.45,1774.2,334.1214905615,334.1214905615,330.44459568450003,331.144512222
