cik,name,entityType,sic,sicDescription,ownerOrg,insiderTransactionForOwnerExists,insiderTransactionForIssuerExists,tickers,exchanges,ein,description,website,investorWebsite,category,fiscalYearEnd,stateOfIncorporation,stateOfIncorporationDescription,phone,flags,mailing_street1,mailing_street2,mailing_city,mailing_stateOrCountry,mailing_zipCode,mailing_stateOrCountryDescription,business_street1,business_street2,business_city,business_stateOrCountry,business_zipCode,business_stateOrCountryDescription,naics,stable 12 to 24,extended tickers
320193,Apple Inc.,operating,3571.0,Electronic Computers,06 Technology,0,1,AAPL,Nasdaq,942404110.0,,,,Large accelerated filer,928.0,CA,CA,(408) 996-1010,,ONE APPLE PARK WAY,,CUPERTINO,CA,95014,CA,ONE APPLE PARK WAY,,CUPERTINO,CA,95014,CA,334111,True,"AAPL*,AAPL"
789019,MICROSOFT CORP,operating,7372.0,Services-Prepackaged Software,06 Technology,1,1,MSFT,Nasdaq,911144442.0,,,,Large accelerated filer,630.0,WA,WA,425-882-8080,,ONE MICROSOFT WAY,,REDMOND,WA,98052-6399,WA,ONE MICROSOFT WAY,,REDMOND,WA,98052-6399,WA,"511210,334614",True,MSFT
1045810,NVIDIA CORP,operating,3674.0,Semiconductors & Related Devices,04 Manufacturing,1,1,NVDA,Nasdaq,943177549.0,,,,Large accelerated filer,126.0,DE,DE,408-486-2000,,2788 SAN TOMAS EXPRESSWAY,,SANTA CLARA,CA,95051,CA,2788 SAN TOMAS EXPRESSWAY,,SANTA CLARA,CA,95051,CA,334413,True,NVDA
1652044,Alphabet Inc.,operating,7370.0,"Services-Computer Programming, Data Processing, Etc.",06 Technology,1,1,"GOOGL,GOOG","Nasdaq,Nasdaq",611767919.0,,,,Large accelerated filer,1231.0,DE,DE,650-253-0000,,1600 AMPHITHEATRE PARKWAY,,MOUNTAIN VIEW,CA,94043,CA,1600 AMPHITHEATRE PARKWAY,,MOUNTAIN VIEW,CA,94043,CA,"518210,541511",True,"GOOG,GOOGL,GOOG*"
1326801,"Meta Platforms, Inc.",operating,7370.0,"Services-Computer Programming, Data Processing, Etc.",06 Technology,0,1,"META,FB",Nasdaq,201665019.0,,,,Large accelerated filer,1231.0,DE,DE,650-543-4800,,1 META WAY,,MENLO PARK,CA,94025,CA,1 META WAY,,MENLO PARK,CA,94025,CA,"518210,541511",False,"FB*,FB,META"
1730168,Broadcom Inc.,operating,3674.0,Semiconductors & Related Devices,04 Manufacturing,0,1,"AVGO,BRCM",Nasdaq,352617337.0,,,,Large accelerated filer,1103.0,,,650-427-6000,,3421 HILLVIEW AVENUE,,PALO ALTO,CA,94304,CA,3421 HILLVIEW AVENUE,,PALO ALTO,CA,94304,CA,334413,True,"BRCM,AVGO"
1341439,ORACLE CORP,operating,7372.0,Services-Prepackaged Software,06 Technology,1,1,ORCL,NYSE,542185193.0,,,,Large accelerated filer,531.0,,,(737) 867-1000,,2300 ORACLE WAY,,AUSTIN,TX,78741,TX,2300 ORACLE WAY,,AUSTIN,TX,78741,TX,"511210,334614",True,ORCL
1108524,"Salesforce, Inc.",operating,7372.0,Services-Prepackaged Software,06 Technology,1,1,CRM,NYSE,943320693.0,,,,Large accelerated filer,131.0,DE,DE,415-901-7000,,SALESFORCE TOWER,415 MISSION STREET 3RD FL,SAN FRANCISCO,CA,94105,CA,SALESFORCE TOWER,415 MISSION STREET 3RD FL,SAN FRANCISCO,CA,94105,CA,"511210,334614",True,CRM
796343,ADOBE INC.,operating,7372.0,Services-Prepackaged Software,06 Technology,1,1,ADBE,Nasdaq,770019522.0,,,,Large accelerated filer,1129.0,DE,DE,4085366000,,345 PARK AVENUE,,SAN JOSE,CA,95110-2704,CA,345 PARK AVE,,SAN JOSE,CA,95110-2704,CA,"511210,334614",True,ADBE
2488,ADVANCED MICRO DEVICES INC,operating,3674.0,Semiconductors & Related Devices,04 Manufacturing,1,1,AMD,Nasdaq,941692300.0,,,,Large accelerated filer,1228.0,DE,DE,(408) 749-4000,,2485 AUGUSTINE DRIVE,,SANTA CLARA,CA,95054,CA,2485 AUGUSTINE DRIVE,,SANTA CLARA,CA,95054,CA,334413,False,AMD
