Macrotrends Data Download

Gold Price - Last 10 Years

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
2015-03-18,1149.0000
2015-03-19,1164.0000
2015-03-20,1171.7500
2015-03-23,1181.4000
2015-03-24,1193.2500
2015-03-25,1192.5500
2015-03-26,1209.4000
2015-03-27,1198.0000
2015-03-30,1187.4000
2015-03-31,1179.2500
2015-04-01,1181.2500
2015-04-02,1201.5000
2015-04-07,1208.5000
2015-04-08,1211.1000
2015-04-09,1196.0000
2015-04-10,1201.9000
2015-04-13,1197.8500
2015-04-14,1191.4500
2015-04-15,1189.8500
2015-04-16,1204.6000
2015-04-17,1204.5500
2015-04-20,1203.2500
2015-04-21,1197.7000
2015-04-22,1202.4000
2015-04-23,1187.7500
2015-04-24,1192.1500
2015-04-27,1182.7500
2015-04-28,1201.4000
2015-04-29,1204.8000
2015-04-30,1204.3000
2015-05-01,1179.0000
2015-05-05,1187.4000
2015-05-06,1191.2500
2015-05-07,1183.0000
2015-05-08,1185.2500
2015-05-11,1184.7500
2015-05-12,1184.4500
2015-05-13,1193.0000
2015-05-14,1214.7500
2015-05-15,1216.3000
2015-05-18,1228.1500
2015-05-19,1219.6500
2015-05-20,1206.7500
2015-05-21,1209.6000
2015-05-22,1211.0000
2015-05-26,1194.0000
2015-05-27,1186.5000
2015-05-28,1188.8000
2015-05-29,1189.8000
2015-06-01,1188.7000
2015-06-02,1194.4000
2015-06-03,1184.9000
2015-06-04,1175.2000
2015-06-05,1168.1000
2015-06-08,1173.6000
2015-06-09,1177.6000
2015-06-10,1186.6000
2015-06-11,1180.4000
2015-06-12,1179.2000
2015-06-15,1185.8000
2015-06-16,1180.9000
2015-06-17,1176.8000
2015-06-18,1202.0000
2015-06-19,1201.9000
