Date,Close/Last,Volume,Open,High,Low
01/22/2024,2022.2,141.963,2031.8,2034.1,2017.4
01/19/2024,2029.3,166.078,2027.4,2041.9,2022.2
01/18/2024,2021.6,167.013,2009.1,2025.6,2007.7
01/17/2024,2006.5,245.194,2031.7,2036.1,2004.6
01/16/2024,2030.2,277.995,2053.4,2062.8,2027.6
01/12/2024,2051.6,250.946,2033.2,2067.3,2033.1
01/11/2024,2019.2,270.624,2029.4,2056.1,2017.3
01/10/2024,2027.8,183.625,2036,2046.2,2025.9
01/9/2024,2033,194.61,2034.5,2048.6,2031.9
01/8/2024,2033.5,199.325,2052.6,2053.3,2022.7
01/5/2024,2049.8,208.861,2051.4,2071.1,2030.8
01/4/2024,2050,125.573,2049.3,2058.1,2043.3
01/3/2024,2042.8,214.132,2067.9,2074.3,2038.3
01/2/2024,2073.4,149.926,2072.7,2088.1,2064.3
12/29/2023,2071.8,102.741,2076.1,2084.1,2067.6
12/28/2023,2083.5,126.411,2089.5,2098.2,2074.6
12/27/2023,2093.1,124.021,2079.3,2095.8,2072.8
12/26/2023,2069.8,76.492,2066,2080.5,2065.1
12/22/2023,2069.1,162.292,2061.2,2083,2058.2
12/21/2023,2051.3,115.184,2044.4,2058,2043.3
12/20/2023,2047.7,119.394,2053.8,2056.9,2040.6
12/19/2023,2052.1,130.031,2041.1,2061,2034.8
12/18/2023,2040.5,137.436,2033.3,2048,2029.5
12/15/2023,2035.7,166.565,2051.3,2059.6,2029.2
12/14/2023,2044.9,222.776,2043.2,2062.9,2039.1
12/13/2023,1997.3,183.78,1995.1,2043.3,1987.9
12/12/2023,1993.2,140.257,1997.8,2012.5,1992.3
12/11/2023,1993.7,151.409,2020,2023.7,1991.2
12/8/2023,2014.5,227.831,2045.7,2050.4,2010.6
12/7/2023,2046.4,165.566,2043.4,2057.2,2036.6
12/6/2023,2047.9,150.192,2037.8,2053.4,2035.3
12/5/2023,2036.3,202.003,2049,2059.6,2027.6
12/4/2023,2042.2,368.688,2094.4,2092.8,2038.4
12/1/2023,2089.7,230.877,2056.5,2095.7,2052.6
11/30/2023,2057.2,143.605,2065.4,2067.4,2051.2
11/29/2023,2067.1,189.494,2062,2072.7,2055.9
11/28/2023,2040,172.968,2014.3,2044.1,2011.5
11/27/2023,2012.4,247.411,2002.5,2018.9,2001.4
11/24/2023,2003,211.252,1991.2,2004.5,1990.9
11/22/2023,1992.8,194.093,2000.3,2008.3,1988.6
11/21/2023,2001.6,223.873,1980,2009.8,1979.9
11/20/2023,1980.3,172.046,1980.9,1987.8,1967.2
11/17/2023,1984.7,129.52,1984.2,1983.6,1982.5
11/16/2023,1987.3,182.935,1963,1984.5,1983.9
11/15/2023,1964.3,138.956,1966.9,1979.2,1958.8
11/14/2023,1966.5,174.844,1950.3,1975.3,1938.8
11/13/2023,1950.2,164.985,1943.4,1953.5,1935.6
11/10/2023,1937.7,210.158,1964.1,1965.6,1936.9
11/9/2023,1969.8,185.574,1955.5,1971.5,1948.3
11/8/2023,1957.8,170.367,1975.3,1977.5,1953.2
11/7/2023,1973.5,200.482,1984.8,1985.2,1962.8
11/6/2023,1988.6,142.515,1999.4,1991.5,1984.2
11/3/2023,1999.2,211.154,1993.5,2011.9,1989.3
11/2/2023,1993.5,150.476,1992,1999.2,1986.3
11/1/2023,1987.5,190.094,1993.3,2005.9,1978.2
10/31/2023,1994.3,205.951,2005.6,2017.7,1987.4
10/30/2023,2005.6,177.834,2013.5,2012.4,1999.7
10/27/2023,1998.5,206.932,1995,2019.7,1986.4
10/26/2023,1997.4,208.597,1991.2,2003.7,1981.6
