Date,Close/Last,Volume,Open,High,Low
01/22/2024,22.296,72.128,22.745,22.78,22-Apr
01/19/2024,22.711,40.328,22.885,22.98,22.595
01/18/2024,22.807,45.111,22.715,22.9,22.52
01/17/2024,22.669,50.602,23.095,23-Nov,22.66
01/16/2024,23.093,60.349,23.35,23.5,23.015
01/12/2024,23.329,70.306,22.92,23.72,22.915
01/11/2024,22.705,78.484,23.085,23.4,22.63
01/10/2024,23.066,41.065,23.16,23.29,22.935
01/9/2024,23.091,41.534,23.315,23.565,23-Aug
01/8/2024,23.31,45.241,23.38,23.41,23-Feb
01/5/2024,23.315,60.321,23.205,23.715,22.97
01/4/2024,23.187,50.503,23.19,23.26,22.88
01/3/2024,23.157,82.186,23.885,23.95,23.045
01/2/2024,23.953,45.478,24.045,24.335,23.875
12/29/2023,24.086,45.455,24.225,24.235,23.76
12/28/2023,24.372,35.081,24.55,24.74,24.185
12/27/2023,24.641,42.321,24.505,24.73,24.22
12/26/2023,24.396,27.003,24.495,24.7,24.34
12/22/2023,24.565,47.671,24.705,24.895,24.37
12/21/2023,24.585,45.075,24.46,24.79,24.43
12/20/2023,24.631,45.871,24.36,24.75,24.245
12/19/2023,24.321,36.943,24,24.475,24-Apr
12/18/2023,24.107,41.128,24.125,24.355,23.955
12/15/2023,24.154,55.983,24.475,24.59,24-May
12/14/2023,24.386,93.478,24.095,24.525,24-Jun
12/13/2023,22.921,77.775,23.075,24.125,22.785
12/12/2023,23.016,54.186,23.125,23.45,22.975
12/11/2023,23.058,54.773,23.3,23.4,23.015
12/8/2023,23.276,83.188,24.14,24.225,23.245
12/7/2023,24.059,56.304,24.23,24.35,23.905
12/6/2023,24.228,57.163,24.53,24.715,24.21
12/5/2023,24.546,73.616,24.915,25-Feb,24.32
12/4/2023,24.907,110.364,25.945,25.73,24.785
12/1/2023,25.857,68.016,25.695,25.94,25.48
11/30/2023,25.66,49.428,25.41,25.7,25.325
11/29/2023,25.443,65.823,25.43,25.68,25.245
11/28/2023,25.302,62.437,25.065,25.445,24.94
11/27/2023,25.038,53.321,24.75,25.29,24.68
11/24/2023,24.692,30.813,24,24.75,23.96
11/22/2023,24.033,23.588,24.145,24.355,23.935
11/21/2023,24.221,22.761,23.825,24.43,23.82
11/20/2023,23.959,15.706,24,24.21,23.65
11/17/2023,23.775,52.717,23.825,23.805,23.76
11/16/2023,23.933,81.399,23.51,23.83,23.8
11/15/2023,23.538,70.517,23.16,23.71,23.095
11/14/2023,23.132,75.657,22.37,23.255,22.15
11/13/2023,22.358,59.134,22.31,22.405,21.925
11/10/2023,22.281,58.708,22.705,22.8,22.23
11/9/2023,22.905,69.618,22.625,23-Jul,22.415
11/8/2023,22.728,62.026,22.705,22.935,22.375
11/7/2023,22.589,73.393,23.125,23.17,22.505
11/6/2023,23.234,40.317,23.335,23.245,23.085
11/3/2023,23.285,75.137,22.875,23.415,22.675
11/2/2023,22.846,43.235,23,23.24,22.755
11/1/2023,22.79,52.76,22.955,23.13,22.645
10/31/2023,22.952,53.422,23.455,23.465,22.84
10/30/2023,23.396,57.268,23.245,23.75,23.175
10/27/2023,22.887,45.217,22.935,23.255,22.775
10/26/2023,22.908,58.346,23.005,23.275,22.565
10/25/2023,23.007,52.904,23,23.16,22.69
10/24/2023,23.116,46.43,23.095,23.16,22.9
10/23/2023,23.21,50.916,23.235,23.3,23.065
10/20/2023,23.53,78.838,23.19,23.88,23.015
10/19/2023,23.031,57.408,23.015,23.23,22.785
10/18/2023,23.099,65.24,22.975,23.49,22.84
10/17/2023,23.024,47.657,22.78,23.18,22.535
10/16/2023,22.765,35.125,22.91,22.91,22.635
10/13/2023,22.895,74.419,21.985,22.99,21.96
10/12/2023,21.959,49.432,22.205,22.39,21.88
10/11/2023,22.133,43.371,22.015,22.275,21.955
10/10/2023,21.953,42.606,22,22-Nov,21.775
10/9/2023,21.924,57.208,21.94,22.18,21.705
10/6/2023,21.723,82.069,21,21.78,20.94
10/5/2023,21.019,56.587,21.18,21.455,20.855
10/4/2023,21.146,65.061,21.375,21.57,20.85
10/3/2023,21.377,77.913,21.31,21.595,20.87
10/2/2023,21.421,93.21,22.41,22.41,21.215
09/29/2023,22.45,109.554,22.84,23.805,22.325
09/28/2023,22.741,65.852,22.8,22.955,22.61
09/27/2023,22.724,64.671,23,23-Dec,22.64
09/26/2023,23.196,51.307,23.39,23.39,23-Oct
09/25/2023,23.385,54.792,23.81,23.925,23.29
09/22/2023,23.844,51.52,23.675,24-May,23.665
09/21/2023,23.687,72.422,23.52,23.745,23-Jun
09/20/2023,23.836,56.524,23.48,23.88,23.325
09/19/2023,23.456,39.112,23.53,23.705,23.365
09/18/2023,23.498,45.368,23.32,23.54,23.235
09/15/2023,23.386,65.79,22.93,23.585,22.91
09/14/2023,22.994,81.585,23.14,23.265,22.555
09/13/2023,23.181,48.15,23.375,23.39,23.025
09/12/2023,23.402,40.133,23.39,23.48,23-Nov
09/11/2023,23.383,41.244,23.195,23.4,23.345
09/8/2023,23.174,51.199,23.26,23.455,23.13
09/7/2023,23.24,49.499,23.5,23.5,23.13
09/6/2023,23.503,65.61,23.88,23.935,23.315
09/5/2023,23.873,89.314,24.565,24.655,23.815
09/1/2023,24.562,60.053,24.82,25.22,24.52
08/31/2023,24.812,45.63,25,25-Jun,24.745
08/30/2023,25.104,63.636,25.135,25.425,24.92
08/29/2023,25.139,48.857,24.62,25.195,24.555
08/28/2023,24.605,32.274,24.62,24.75,24.45
08/25/2023,24.583,31.825,24.53,24.785,24.31
08/24/2023,24.575,37.411,24.7,24.74,24.45
08/23/2023,24.71,30.462,23.795,24.75,23.79
08/22/2023,23.763,18.265,23.71,23.83,23.59
08/21/2023,23.659,16.519,23.13,23.7,23-Apr
08/18/2023,23,8.268,23,23.24,23
