date, value
1977-01-05,51.25
1977-01-06,51.9
1977-01-07,53
1977-01-10,52.25
1977-01-11,52
1977-01-12,52.25
1977-01-13,53.5
1977-01-14,54.5
1977-01-17,54.5
1977-01-18,55
1977-01-19,55.5
1977-01-20,57.5
1977-01-21,58
1977-01-24,58.5
1977-01-25,59
1977-01-26,59
1977-01-27,59
1977-01-28,58.5
1977-01-31,58.35
1977-02-01,58
1977-02-02,58.1
1977-02-03,59.5
1977-02-04,59.05
1977-02-07,59.25
1977-02-08,59.25
1977-02-09,59.25
1977-02-10,58.95
1977-02-11,58.5
1977-02-14,58.35
1977-02-15,57.8
1977-02-16,57.9
1977-02-17,58.25
1977-02-18,58.15
1977-02-22,58.25
1977-02-23,58.73
1977-02-24,58.77
1977-02-25,58.86
1977-02-28,59.66
1977-03-01,58.9
1977-03-02,59
1977-03-03,59.05
1977-03-04,59.1
1977-03-07,58.8
1977-03-08,58.5
1977-03-09,58.35
1977-03-10,57.75
1977-03-11,56.2
1977-03-14,56.75
1977-03-15,57.1
1977-03-16,57
1977-03-17,56.8
1977-03-18,57
1977-03-21,56.75
1977-03-22,57
1977-03-23,56.85
1977-03-24,56.85
1977-03-25,56.5
1977-03-28,56
1977-03-29,55.2
1977-03-30,55.3
1977-03-31,55.5
1977-04-01,55.75
1977-04-04,55.6
1977-04-05,55.75
1977-04-06,55
1977-04-07,54.3
1977-04-11,54.6
1977-04-12,54.95
1977-04-13,55.1
1977-04-14,54.8
1977-04-15,55
1977-04-18,54.85
1977-04-19,54.8
1977-04-20,54.3
1977-04-21,53.4
1977-04-22,53.85
1977-04-25,53.5
1977-04-26,53.1
1977-04-27,53.3
1977-04-28,53.65
1977-04-29,53.75
1977-05-02,53.6
1977-05-03,53.8
1977-05-04,53.65
1977-05-05,53.3
1977-05-06,53.25
1977-05-09,53.25
1977-05-10,53.05
1977-05-11,53.3
1977-05-12,53.05
1977-05-13,53
1977-05-16,52.5
1977-05-17,52
1977-05-18,51
1977-05-19,50
1977-05-20,49.3
1977-05-23,48
1977-05-24,48.4
1977-05-25,49.14
1977-05-26,48.9
1977-05-27,49.14
1977-05-31,48.7
1977-06-01,48.85
1977-06-02,48.5
1977-06-03,46.85
1977-06-06,46
1977-06-07,44.05
1977-06-08,43.35
1977-06-09,42
1977-06-10,44.6
1977-06-13,42.5
1977-06-14,42.2
1977-06-15,44.4
1977-06-16,45.5
1977-06-17,44.9
1977-06-20,44.75
1977-06-21,45.2
1977-06-22,45.25
1977-06-23,45.25
1977-06-24,45.45
1977-06-27,45.85
1977-06-28,45.75
1977-06-29,45.8
1977-06-30,45.8
1977-07-01,45.3
1977-07-05,45.2
1977-07-06,45.4
1977-07-07,45
1977-07-08,44.7
1977-07-11,44.5
1977-07-12,44.4
1977-07-13,44
1977-07-15,43.75
1977-07-18,44.3
1977-07-19,44.5
1977-07-20,44.1
1977-07-21,44.1
1977-07-22,44
1977-07-25,44.25
1977-07-26,44
1977-07-27,43.25
1977-07-28,43
1977-07-29,43
1977-08-01,42.5
1977-08-02,43
1977-08-04,42.95
1977-08-05,42.6
1977-08-08,42.5
1977-08-09,42.6
1977-08-10,42.35
1977-08-11,42.2
1977-08-12,42.2
1977-08-15,41.7
1977-08-16,41.7
1977-08-17,41.7
1977-08-18,41.65
1977-08-19,41.7
1977-08-22,41.75
1977-08-23,41.9
1977-08-24,41.85
1977-08-25,41.9
1977-08-26,41.96
1977-08-29,41.92
1977-08-30,42.12
1977-08-31,42.408
1977-09-01,42.4
1977-09-02,43.25
1977-09-06,42.8
1977-09-07,43
1977-09-08,42.8
1977-09-09,43.3
1977-09-12,42.9
1977-09-13,42.15
1977-09-14,42
1977-09-15,42
1977-09-16,42.4
1977-09-19,42.5
1977-09-20,42.75
1977-09-21,42.5
1977-09-22,42.5
1977-09-23,42.5
1977-09-26,42.8
1977-09-27,42.75
1977-09-28,42.5
1977-09-29,42.75
1977-09-30,42.5
1977-10-03,43
1977-10-04,43.35
1977-10-05,43.1
1977-10-06,43.05
1977-10-07,42.55
1977-10-10,42.5
1977-10-11,42.5
1977-10-12,42.55
1977-10-13,42.2
1977-10-14,42.7
1977-10-17,42.7
1977-10-18,42.5
1977-10-19,42.5
1977-10-20,42.4
1977-10-21,42.4
1977-10-24,43.8
1977-10-25,44.25
