Macrotrends Data Download



DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
2012-03-19,32.4400
2012-03-20,32.2200
2012-03-21,31.9700
2012-03-22,31.7900
2012-03-23,31.5400
2012-03-26,32.2300
2012-03-27,33.0100
2012-03-28,32.4300
2012-03-29,31.7900
2012-03-30,32.4300
2012-04-02,32.4200
2012-04-03,32.9700
2012-04-04,31.9800
2012-04-05,31.2700
2012-04-10,31.5500
2012-04-11,31.7000
2012-04-12,31.4700
2012-04-13,32.3700
2012-04-16,31.3200
2012-04-17,31.6400
2012-04-18,31.6100
2012-04-19,31.4700
2012-04-20,31.7900
2012-04-23,31.1600
2012-04-24,30.8600
2012-04-25,30.8800
2012-04-26,30.7000
2012-04-27,31.1400
2012-04-30,31.2000
2012-05-01,30.7800
2012-05-02,30.5200
2012-05-03,30.3600
2012-05-04,29.9000
2012-05-08,29.5800
2012-05-09,28.7700
2012-05-10,29.2500
2012-05-11,28.5800
2012-05-14,28.3300
2012-05-15,28.2800
2012-05-16,27.2500
2012-05-17,27.4800
2012-05-18,28.4800
2012-05-21,28.3900
2012-05-22,28.0700
2012-05-23,27.7600
2012-05-24,28.0800
2012-05-25,28.2400
2012-05-28,28.5200
2012-05-29,28.2500
2012-05-30,27.6800
2012-05-31,28.1000
2012-06-01,27.3800
2012-06-06,29.3600
2012-06-07,29.2800
2012-06-08,28.1700
2012-06-11,28.6300
2012-06-12,28.5400
2012-06-13,28.8700
2012-06-14,28.8800
2012-06-15,28.6600
2012-06-18,28.4300
2012-06-19,28.8100
2012-06-20,28.3100
2012-06-21,27.8800
2012-06-22,26.8100
2012-06-25,26.7200
2012-06-26,27.4400
2012-06-27,26.8400
2012-06-28,26.8100
2012-06-29,27.0800
2012-07-02,27.3600
2012-07-03,27.9200
2012-07-04,28.1100
2012-07-05,28.3300
2012-07-06,27.3200
2012-07-09,27.2400
