+-----------------+------+--------+---------+---------------------------------------------------------------------------------------------------------+
|    series id    | year | period |  value  |                                                footnotes                                                |
+-----------------+------+--------+---------+---------------------------------------------------------------------------------------------------------+
| PCU332---332--- | 2025 |  M03   | 291.849 | Preliminary. All indexes are subject to monthly revisions up to four months after original publication. |
| PCU332---332--- | 2025 |  M02   | 287.868 | Preliminary. All indexes are subject to monthly revisions up to four months after original publication. |
| PCU332---332--- | 2025 |  M01   | 286.771 | Preliminary. All indexes are subject to monthly revisions up to four months after original publication. |
| PCU332---332--- | 2024 |  M12   | 285.759 | Preliminary. All indexes are subject to monthly revisions up to four months after original publication. |
| PCU332---332--- | 2024 |  M11   | 285.608 |                                                                                                         |
| PCU332---332--- | 2024 |  M10   | 285.730 |                                                                                                         |
| PCU332---332--- | 2024 |  M09   | 285.287 |                                                                                                         |
| PCU332---332--- | 2024 |  M08   | 285.416 |                                                                                                         |
| PCU332---332--- | 2024 |  M07   | 283.883 |                                                                                                         |
| PCU332---332--- | 2024 |  M06   | 283.727 |                                                                                                         |
| PCU332---332--- | 2024 |  M05   | 283.314 |                                                                                                         |
| PCU332---332--- | 2024 |  M04   | 282.577 |                                                                                                         |
| PCU332---332--- | 2024 |  M03   | 282.207 |                                                                                                         |
| PCU332---332--- | 2024 |  M02   | 281.592 |                                                                                                         |
| PCU332---332--- | 2024 |  M01   | 281.886 |                                                                                                         |
| PCU332---332--- | 2023 |  M12   | 279.967 |                                                                                                         |
| PCU332---332--- | 2023 |  M11   | 278.772 |                                                                                                         |
| PCU332---332--- | 2023 |  M10   | 279.040 |                                                                                                         |
| PCU332---332--- | 2023 |  M09   | 278.502 |                                                                                                         |
| PCU332---332--- | 2023 |  M08   | 278.521 |                                                                                                         |
| PCU332---332--- | 2023 |  M07   | 278.857 |                                                                                                         |
| PCU332---332--- | 2023 |  M06   | 278.285 |                                                                                                         |
| PCU332---332--- | 2023 |  M05   | 278.115 |                                                                                                         |
| PCU332---332--- | 2023 |  M04   | 278.398 |                                                                                                         |
| PCU332---332--- | 2023 |  M03   | 276.350 |                                                                                                         |
| PCU332---332--- | 2023 |  M02   | 274.939 |                                                                                                         |
| PCU332---332--- | 2023 |  M01   | 273.640 |                                                                                                         |
| PCU332---332--- | 2022 |  M12   | 272.287 |                                                                                                         |
| PCU332---332--- | 2022 |  M11   | 272.783 |                                                                                                         |
| PCU332---332--- | 2022 |  M10   | 273.208 |                                                                                                         |
| PCU332---332--- | 2022 |  M09   | 273.214 |                                                                                                         |
| PCU332---332--- | 2022 |  M08   | 272.988 |                                                                                                         |
| PCU332---332--- | 2022 |  M07   | 271.919 |                                                                                                         |
| PCU332---332--- | 2022 |  M06   | 271.313 |                                                                                                         |
| PCU332---332--- | 2022 |  M05   | 269.575 |                                                                                                         |
| PCU332---332--- | 2022 |  M04   | 266.158 |                                                                                                         |
| PCU332---332--- | 2022 |  M03   | 261.980 |                                                                                                         |
| PCU332---332--- | 2022 |  M02   | 258.836 |                                                                                                         |
| PCU332---332--- | 2022 |  M01   | 255.686 |                                                                                                         |
| PCU332---332--- | 2021 |  M12   | 251.558 |                                                                                                         |
| PCU332---332--- | 2021 |  M11   | 248.116 |                                                                                                         |
| PCU332---332--- | 2021 |  M10   | 244.065 |                                                                                                         |
| PCU332---332--- | 2021 |  M09   | 240.335 |                                                                                                         |
| PCU332---332--- | 2021 |  M08   | 237.288 |                                                                                                         |
| PCU332---332--- | 2021 |  M07   | 232.929 |                                                                                                         |
| PCU332---332--- | 2021 |  M06   |  228.3  |                                                                                                         |
| PCU332---332--- | 2021 |  M05   |  222.5  |                                                                                                         |
| PCU332---332--- | 2021 |  M04   |  219.3  |                                                                                                         |
| PCU332---332--- | 2021 |  M03   |  216.0  |                                                                                                         |
| PCU332---332--- | 2021 |  M02   |  212.2  |                                                                                                         |
| PCU332---332--- | 2021 |  M01   |  209.3  |                                                                                                         |
| PCU332---332--- | 2020 |  M12   |  207.4  |                                                                                                         |
| PCU332---332--- | 2020 |  M11   |  206.5  |                                                                                                         |
| PCU332---332--- | 2020 |  M10   |  206.1  |                                                                                                         |
| PCU332---332--- | 2020 |  M09   |  205.9  |                                                                                                         |
| PCU332---332--- | 2020 |  M08   |  205.9  |                                                                                                         |
| PCU332---332--- | 2020 |  M07   |  205.5  |                                                                                                         |
| PCU332---332--- | 2020 |  M06   |  205.7  |                                                                                                         |
| PCU332---332--- | 2020 |  M05   |  205.7  |                                                                                                         |
| PCU332---332--- | 2020 |  M04   |  205.4  |                                                                                                         |
| PCU332---332--- | 2020 |  M03   |  205.4  |                                                                                                         |
| PCU332---332--- | 2020 |  M02   |  205.1  |                                                                                                         |
| PCU332---332--- | 2020 |  M01   |  204.9  |                                                                                                         |
+-----------------+------+--------+---------+---------------------------------------------------------------------------------------------------------+
