+-----------------+------+--------+-------+-----------+
|    series id    | year | period | value | footnotes |
+-----------------+------+--------+-------+-----------+
| PCU5132--5132-- | 2020 |  M12   |  92.5 |           |
| PCU5132--5132-- | 2020 |  M11   |  93.3 |           |
| PCU5132--5132-- | 2020 |  M10   |  93.4 |           |
| PCU5132--5132-- | 2020 |  M09   |  92.7 |           |
| PCU5132--5132-- | 2020 |  M08   |  91.7 |           |
| PCU5132--5132-- | 2020 |  M07   |  92.0 |           |
| PCU5132--5132-- | 2020 |  M06   |  92.0 |           |
| PCU5132--5132-- | 2020 |  M05   |  91.5 |           |
| PCU5132--5132-- | 2020 |  M04   |  91.8 |           |
| PCU5132--5132-- | 2020 |  M03   |  91.3 |           |
| PCU5132--5132-- | 2020 |  M02   |  91.3 |           |
| PCU5132--5132-- | 2020 |  M01   |  91.0 |           |
| PCU5132--5132-- | 2019 |  M12   |  91.2 |           |
| PCU5132--5132-- | 2019 |  M11   |  91.4 |           |
| PCU5132--5132-- | 2019 |  M10   |  91.7 |           |
| PCU5132--5132-- | 2019 |  M09   |  91.9 |           |
| PCU5132--5132-- | 2019 |  M08   |  92.1 |           |
| PCU5132--5132-- | 2019 |  M07   |  92.5 |           |
| PCU5132--5132-- | 2019 |  M06   |  91.3 |           |
| PCU5132--5132-- | 2019 |  M05   |  92.3 |           |
| PCU5132--5132-- | 2019 |  M04   |  91.4 |           |
| PCU5132--5132-- | 2019 |  M03   |  90.5 |           |
| PCU5132--5132-- | 2019 |  M02   |  90.3 |           |
| PCU5132--5132-- | 2019 |  M01   |  91.8 |           |
| PCU5132--5132-- | 2018 |  M12   |  90.2 |           |
| PCU5132--5132-- | 2018 |  M11   |  91.6 |           |
| PCU5132--5132-- | 2018 |  M10   |  91.7 |           |
| PCU5132--5132-- | 2018 |  M09   |  91.5 |           |
| PCU5132--5132-- | 2018 |  M08   |  91.7 |           |
| PCU5132--5132-- | 2018 |  M07   |  92.8 |           |
| PCU5132--5132-- | 2018 |  M06   |  92.1 |           |
| PCU5132--5132-- | 2018 |  M05   |  92.6 |           |
| PCU5132--5132-- | 2018 |  M04   |  92.3 |           |
| PCU5132--5132-- | 2018 |  M03   |  92.8 |           |
| PCU5132--5132-- | 2018 |  M02   |  91.1 |           |
| PCU5132--5132-- | 2018 |  M01   |  91.9 |           |
| PCU5132--5132-- | 2017 |  M12   |  91.7 |           |
| PCU5132--5132-- | 2017 |  M11   |  91.9 |           |
| PCU5132--5132-- | 2017 |  M10   |  92.2 |           |
| PCU5132--5132-- | 2017 |  M09   |  91.6 |           |
| PCU5132--5132-- | 2017 |  M08   |  92.6 |           |
| PCU5132--5132-- | 2017 |  M07   |  92.8 |           |
| PCU5132--5132-- | 2017 |  M06   |  93.5 |           |
| PCU5132--5132-- | 2017 |  M05   |  93.9 |           |
