+-----------------+------+--------+-------+-----------+
|    series id    | year | period | value | footnotes |
+-----------------+------+--------+-------+-----------+
| PCU517---517--- | 2020 |  M12   | 100.9 |           |
| PCU517---517--- | 2020 |  M11   | 101.0 |           |
| PCU517---517--- | 2020 |  M10   | 101.2 |           |
| PCU517---517--- | 2020 |  M09   | 100.9 |           |
| PCU517---517--- | 2020 |  M08   | 101.3 |           |
| PCU517---517--- | 2020 |  M07   | 100.9 |           |
| PCU517---517--- | 2020 |  M06   | 100.9 |           |
| PCU517---517--- | 2020 |  M05   | 101.0 |           |
| PCU517---517--- | 2020 |  M04   | 101.7 |           |
| PCU517---517--- | 2020 |  M03   | 101.7 |           |
| PCU517---517--- | 2020 |  M02   | 101.3 |           |
| PCU517---517--- | 2020 |  M01   | 100.9 |           |
| PCU517---517--- | 2019 |  M12   | 100.4 |           |
| PCU517---517--- | 2019 |  M11   | 100.3 |           |
| PCU517---517--- | 2019 |  M10   | 100.6 |           |
| PCU517---517--- | 2019 |  M09   | 100.5 |           |
| PCU517---517--- | 2019 |  M08   |  99.9 |           |
| PCU517---517--- | 2019 |  M07   |  99.9 |           |
| PCU517---517--- | 2019 |  M06   |  99.9 |           |
| PCU517---517--- | 2019 |  M05   | 100.1 |           |
| PCU517---517--- | 2019 |  M04   |  99.9 |           |
| PCU517---517--- | 2019 |  M03   |  99.6 |           |
| PCU517---517--- | 2019 |  M02   |  99.6 |           |
| PCU517---517--- | 2019 |  M01   |  99.3 |           |
| PCU517---517--- | 2018 |  M12   |  99.1 |           |
| PCU517---517--- | 2018 |  M11   |  99.1 |           |
| PCU517---517--- | 2018 |  M10   |  99.2 |           |
| PCU517---517--- | 2018 |  M09   |  99.4 |           |
| PCU517---517--- | 2018 |  M08   |  99.3 |           |
| PCU517---517--- | 2018 |  M07   |  98.2 |           |
| PCU517---517--- | 2018 |  M06   |  98.6 |           |
| PCU517---517--- | 2018 |  M05   |  98.4 |           |
| PCU517---517--- | 2018 |  M04   |  97.7 |           |
| PCU517---517--- | 2018 |  M03   |  97.7 |           |
| PCU517---517--- | 2018 |  M02   |  97.6 |           |
| PCU517---517--- | 2018 |  M01   |  98.0 |           |
| PCU517---517--- | 2017 |  M12   |  97.7 |           |
| PCU517---517--- | 2017 |  M11   |  97.3 |           |
| PCU517---517--- | 2017 |  M10   |  98.1 |           |
| PCU517---517--- | 2017 |  M09   |  97.1 |           |
| PCU517---517--- | 2017 |  M08   |  97.0 |           |
| PCU517---517--- | 2017 |  M07   |  97.1 |           |
| PCU517---517--- | 2017 |  M06   |  97.2 |           |
| PCU517---517--- | 2017 |  M05   |  97.3 |           |
| PCU517---517--- | 2017 |  M04   |  97.5 |           |
| PCU517---517--- | 2017 |  M03   |  97.4 |           |
| PCU517---517--- | 2017 |  M02   |  97.1 |           |
| PCU517---517--- | 2017 |  M01   |  97.7 |           |
| PCU517---517--- | 2016 |  M12   |  98.5 |           |
| PCU517---517--- | 2016 |  M11   |  98.5 |           |
| PCU517---517--- | 2016 |  M10   |  99.1 |           |
| PCU517---517--- | 2016 |  M09   |  98.9 |           |
| PCU517---517--- | 2016 |  M08   |  99.1 |           |
| PCU517---517--- | 2016 |  M07   |  99.3 |           |
| PCU517---517--- | 2016 |  M06   |  99.3 |           |
| PCU517---517--- | 2016 |  M05   |  99.2 |           |
| PCU517---517--- | 2016 |  M04   |  99.4 |           |
| PCU517---517--- | 2016 |  M03   |  99.3 |           |
| PCU517---517--- | 2016 |  M02   |  99.4 |           |
| PCU517---517--- | 2016 |  M01   |  99.5 |           |
| PCU517---517--- | 2015 |  M12   |  99.1 |           |
| PCU517---517--- | 2015 |  M11   |  99.2 |           |
| PCU517---517--- | 2015 |  M10   |  99.9 |           |
| PCU517---517--- | 2015 |  M09   |  99.7 |           |
| PCU517---517--- | 2015 |  M08   |  99.9 |           |
| PCU517---517--- | 2015 |  M07   | 100.0 |           |
| PCU517---517--- | 2015 |  M06   | 100.1 |           |
| PCU517---517--- | 2015 |  M05   | 100.1 |           |
| PCU517---517--- | 2015 |  M04   | 100.9 |           |
| PCU517---517--- | 2015 |  M03   |  99.7 |           |
| PCU517---517--- | 2015 |  M02   | 100.2 |           |
| PCU517---517--- | 2015 |  M01   | 101.2 |           |
| PCU517---517--- | 2014 |  M12   | 101.0 |           |
| PCU517---517--- | 2014 |  M11   | 101.0 |           |
| PCU517---517--- | 2014 |  M10   | 101.7 |           |
| PCU517---517--- | 2014 |  M09   | 101.4 |           |
| PCU517---517--- | 2014 |  M08   | 101.9 |           |
| PCU517---517--- | 2014 |  M07   | 101.5 |           |
| PCU517---517--- | 2014 |  M06   | 101.8 |           |
| PCU517---517--- | 2014 |  M05   | 101.8 |           |
| PCU517---517--- | 2014 |  M04   | 102.1 |           |
| PCU517---517--- | 2014 |  M03   | 102.0 |           |
| PCU517---517--- | 2014 |  M02   | 102.3 |           |
| PCU517---517--- | 2014 |  M01   | 102.1 |           |
| PCU517---517--- | 2013 |  M12   | 102.1 |           |
| PCU517---517--- | 2013 |  M11   | 102.1 |           |
| PCU517---517--- | 2013 |  M10   | 102.2 |           |
| PCU517---517--- | 2013 |  M09   | 102.4 |           |
| PCU517---517--- | 2013 |  M08   | 102.5 |           |
| PCU517---517--- | 2013 |  M07   | 101.9 |           |
| PCU517---517--- | 2013 |  M06   | 101.9 |           |
| PCU517---517--- | 2013 |  M05   | 102.2 |           |
| PCU517---517--- | 2013 |  M04   | 102.1 |           |
| PCU517---517--- | 2013 |  M03   | 101.8 |           |
| PCU517---517--- | 2013 |  M02   | 102.2 |           |
| PCU517---517--- | 2013 |  M01   | 102.0 |           |
| PCU517---517--- | 2012 |  M12   | 101.5 |           |
| PCU517---517--- | 2012 |  M11   | 101.6 |           |
| PCU517---517--- | 2012 |  M10   | 101.6 |           |
| PCU517---517--- | 2012 |  M09   | 101.9 |           |
| PCU517---517--- | 2012 |  M08   | 102.2 |           |
| PCU517---517--- | 2012 |  M07   | 101.7 |           |
| PCU517---517--- | 2012 |  M06   | 101.8 |           |
| PCU517---517--- | 2012 |  M05   | 101.8 |           |
| PCU517---517--- | 2012 |  M04   | 101.4 |           |
| PCU517---517--- | 2012 |  M03   | 101.9 |           |
| PCU517---517--- | 2012 |  M02   | 101.7 |           |
| PCU517---517--- | 2012 |  M01   | 102.0 |           |
+-----------------+------+--------+-------+-----------+
